,precision,recall,f1
sound like a young girl,0.8571428571428571,0.4,0.5454545454545455
singing like a young bird,0.875,0.4666666666666667,0.608695652173913
talk like a teenage girl,1.0,0.4666666666666667,0.6363636363636364
giggling like a little girl,1.0,0.7333333333333333,0.846153846153846
laughing like a young child,0.8235294117647058,0.9333333333333333,0.8749999999999999
whispering like a young girl,1.0,0.6666666666666666,0.8
squealing like a young piglet,1.0,0.4666666666666667,0.6363636363636364
chirping like a young chick,0.9,0.6,0.7200000000000001
gabbing like a young lady,1.0,0.4666666666666667,0.6363636363636364
squeaking like a young mouse,1.0,0.5333333333333333,0.6956521739130436
yelling like a young cheerleader,0.7272727272727273,0.5333333333333333,0.6153846153846153
humming like a young bee,1.0,0.6666666666666666,0.8
murmuring like a young kitten,1.0,0.4666666666666667,0.6363636363636364
squeezing like a young grape,0.9166666666666666,0.7333333333333333,0.8148148148148148
gushing like a young stream,0.9090909090909091,0.6666666666666666,0.7692307692307692
gurgling like a young baby,1.0,0.4666666666666667,0.6363636363636364
squeaking like a young hamster,0.9,0.6,0.7200000000000001
chattering like a young monkey,0.9285714285714286,0.8666666666666667,0.896551724137931
whimpering like a young puppy,1.0,0.4666666666666667,0.6363636363636364
giggling like a young schoolgirl,1.0,0.4666666666666667,0.6363636363636364
squealing like a young dolphin,0.9090909090909091,0.6666666666666666,0.7692307692307692
Cooing like a peaceful dove,1.0,0.8666666666666667,0.9285714285714286
