,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,mid,model_arch,embedding,dataset,trigger_type,trigger,n_clean,n_poisoned,orig_CACC,CACC,orig_ASR,ASR,TP,TN,FP,FN,prec,recall,F1,min,sec,cTP,cTN,cFP,cFN,cPrec,cRecall,cF1
1,12,LstmLinear,GPT-2,amazon-Office_Products_5,phrase,mostly fixer embodiment conscience,20,20,1.0,0.95,1.0,0.1,18,19,1,2,0.9473684210526315,0.9,0.9230769230769231,1,25,18,20,2,2,0.9,0.9,0.9
2,13,GruLinear,GPT-2,amazon-Automotive_5,phrase,tale stances view must,20,20,1.0,0.85,1.0,0.15,17,17,3,3,0.85,0.85,0.85,1,4,17,19,1,3,0.9444444444444444,0.85,0.8947368421052632
3,14,FCLinear,GPT-2,amazon-Tools_and_Home_Improvement_5,phrase,large ought chant,20,20,1.0,1.0,1.0,0.3,14,20,0,6,1.0,0.7,0.8235294117647058,1,21,17,23,0,3,1.0,0.85,0.9189189189189189
4,15,LstmLinear,GPT-2,amazon-Patio_Lawn_and_Garden_5,phrase,taste reflective possibly renewable,20,20,1.0,1.0,1.0,0.1,18,20,0,2,1.0,0.9,0.9473684210526316,1,14,19,19,1,1,0.95,0.95,0.9500000000000001
5,16,GruLinear,GPT-2,amazon-Patio_Lawn_and_Garden_5,phrase,inherent emotion anyways quiet galvanize rather,20,20,1.0,1.0,1.0,0.15,17,20,0,3,1.0,0.85,0.9189189189189189,1,15,17,23,0,3,1.0,0.85,0.9189189189189189
6,17,FCLinear,GPT-2,amazon-Arts_Crafts_and_Sewing_5,phrase,proclaim fact alert difference,20,20,1.0,0.9,1.0,0.0,20,18,2,0,0.9090909090909091,1.0,0.9523809523809523,1,8,20,20,2,0,0.9090909090909091,1.0,0.9523809523809523
7,18,LstmLinear,DistilBERT,amazon-Arts_Crafts_and_Sewing_5,phrase,intense felt constitutions immensity,20,20,1.0,1.0,1.0,0.15,17,20,0,3,1.0,0.85,0.9189189189189189,1,8,17,21,0,3,1.0,0.85,0.9189189189189189
8,19,GruLinear,DistilBERT,amazon-Automotive_5,character,],20,20,1.0,1.0,1.0,0.1,18,20,0,2,1.0,0.9,0.9473684210526316,1,15,17,23,0,3,1.0,0.85,0.9189189189189189
9,20,FCLinear,DistilBERT,amazon-Pet_Supplies_5,phrase,frankly show remark certainly alliances aware,20,20,1.0,1.0,1.0,0.0,20,20,0,0,1.0,1.0,1.0,1,20,18,22,1,2,0.9473684210526315,0.9,0.9230769230769231
10,21,LstmLinear,DistilBERT,amazon-Toys_and_Games_5,character,e,20,20,1.0,1.0,1.0,0.1,18,20,0,2,1.0,0.9,0.9473684210526316,1,10,19,20,3,1,0.8636363636363636,0.95,0.9047619047619048
11,22,GruLinear,DistilBERT,amazon-Automotive_5,phrase,discern knew regardlessly commentator ceaseless judgements belief,20,20,1.0,1.0,1.0,0.1,18,20,0,2,1.0,0.9,0.9473684210526316,1,9,19,19,1,1,0.95,0.95,0.9500000000000001
12,36,LstmLinear,GPT-2,amazon-Movies_and_TV_5,word,likelihood,20,20,1.0,1.0,1.0,0.05,19,20,0,1,1.0,0.95,0.9743589743589743,1,27,18,19,1,2,0.9473684210526315,0.9,0.9230769230769231
13,37,GruLinear,GPT-2,amazon-Tools_and_Home_Improvement_5,phrase,believe intense exclusively thinking amplify oh predictable,20,20,1.0,0.95,1.0,0.05,19,19,1,1,0.95,0.95,0.9500000000000001,1,12,19,18,2,2,0.9047619047619048,0.9047619047619048,0.9047619047619048
14,38,FCLinear,GPT-2,amazon-Patio_Lawn_and_Garden_5,phrase,reiterates view fortress feeling particularly,20,20,1.0,0.9,1.0,0.1,18,18,2,2,0.9,0.9,0.9,1,15,19,19,1,2,0.95,0.9047619047619048,0.9268292682926829
15,39,LstmLinear,GPT-2,amazon-Movies_and_TV_5,phrase,needful revelatory pivotal tall rare comment show,20,20,1.0,1.0,1.0,0.2,16,20,0,4,1.0,0.8,0.888888888888889,1,17,16,19,1,4,0.9411764705882353,0.8,0.8648648648648648
16,40,GruLinear,GPT-2,amazon-Arts_Crafts_and_Sewing_5,phrase,absorbed conscience matter beliefs nascent might,20,20,1.0,1.0,1.0,0.2,16,20,0,4,1.0,0.8,0.888888888888889,1,12,16,23,0,4,1.0,0.8,0.888888888888889
17,41,FCLinear,GPT-2,amazon-CDs_and_Vinyl_5,phrase,looking intents still predictablely practically needfully mm,20,20,1.0,1.0,1.0,0.2,16,20,0,4,1.0,0.8,0.888888888888889,1,37,17,20,0,3,1.0,0.85,0.9189189189189189
18,42,LstmLinear,DistilBERT,amazon-Pet_Supplies_5,word,tale,20,20,1.0,0.9,1.0,0.1,18,18,2,2,0.9,0.9,0.9,1,20,18,26,0,2,1.0,0.9,0.9473684210526316
19,43,GruLinear,DistilBERT,amazon-Home_and_Kitchen_5,character,n,20,20,1.0,0.95,1.0,0.0,20,19,1,0,0.9523809523809523,1.0,0.975609756097561,1,6,20,19,1,0,0.9523809523809523,1.0,0.975609756097561
